label,cluster,rank,operator,total_profiled_us,rows
w_const,cluster_2,1,model/common_MoE/common_MoE_exp_0/MatMul,6117.6,19
w_const,cluster_2,2,model/common_MoE/common_MoE_exp_1/MatMul,4323.3,16
w_const,cluster_2,3,model/common_MoE/common_MoE_exp_2/MatMul,3954.8,13
w_const,cluster_2,4,model/stat_dense/MatMul,2733.1,4
w_const,cluster_2,5,model/common_MoE/common_MoE_exp_0/MatMul_1,866.2,4
w_const,cluster_2,6,call:parallel_multiply_bitcast_fusion.5,838.7,3
w_const,cluster_2,7,model/common_MoE/common_MoE_exp_1/MatMul_1,811.3,4
w_const,cluster_2,8,model/common_MoE/common_MoE_exp_2/MatMul_1,806.0,4
w_const,cluster_2,9,call:parallel_multiply_bitcast_fusion.2,679.2,3
w_const,cluster_2,10,call:parallel_multiply_bitcast_fusion.4,586.8,3
w_const,cluster_2,11,model/avr_tower/avr_tower_dense_0/MatMul,504.7,4
w_const,cluster_2,12,model/gmv_tower/gmv_tower_dense_0/MatMul,260.9,4
wo_const,cluster_2,1,model/common_MoE/common_MoE_exp_0/MatMul,6759.7,5
wo_const,cluster_2,2,model/common_MoE/common_MoE_exp_1/MatMul,6051.9,5
wo_const,cluster_2,3,model/common_MoE/common_MoE_exp_2/MatMul,5956.4,5
wo_const,cluster_2,4,model/stat_dense/MatMul,3655.7,5
wo_const,cluster_2,5,call:parallel_multiply_bitcast_fusion.4,1641.8,4
wo_const,cluster_2,6,model/common_MoE/common_MoE_exp_0/MatMul_1,1229.7,4
wo_const,cluster_2,7,model/common_MoE/common_MoE_exp_2/MatMul_1,1210.4,4
wo_const,cluster_2,8,model/common_MoE/common_MoE_exp_1/MatMul_1,599.9,3
wo_const,cluster_2,9,%dot.1838,565.6,1
wo_const,cluster_2,10,call:parallel_multiply_bitcast_fusion.5,523.7,2
wo_const,cluster_2,11,%dot.1858,482.4,1
wo_const,cluster_2,12,call:parallel_multiply_bitcast_fusion.2,407.1,2
