label,cluster,batch,profiles,latency_p50_us,latency_min_us,latency_max_us,operator_rows,signatures
w_const,cluster_0,3,1,672.0,672.0,672.0,22,"const=2,res=0,suffix=159"
w_const,cluster_1,16,1,95.3,95.3,95.3,58,"const=0,res=95,suffix=382"
w_const,cluster_2,2,3,6770.0,6740.0,7540.0,"20,20,20","const=45,res=55,suffix=1886 x3"
w_const,cluster_2,3,1,9430.0,9430.0,9430.0,31,"const=45,res=55,suffix=1904"
w_const,cluster_3,2,3,194.0,192.0,270.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,3,1,280.0,280.0,280.0,23,"const=0,res=0,suffix=180"
w_const,cluster_3,29,3,672.0,665.0,792.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,51,3,1160.0,1030.0,1210.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,81,3,1700.0,1640.0,2630.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,88,3,1870.0,1840.0,2040.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,90,3,1850.0,1620.0,2520.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,91,3,1920.0,1870.0,2130.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,96,3,1990.0,1790.0,2680.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,97,3,2000.0,1890.0,2490.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,99,3,2060.0,1880.0,2080.0,"23,23,23","const=0,res=0,suffix=180 x3"
w_const,cluster_3,176,3,2810.0,2790.0,4040.0,"23,23,23","const=0,res=0,suffix=180 x3"
wo_const,cluster_0,3,1,643.0,643.0,643.0,22,"const=2,res=0,suffix=159"
wo_const,cluster_1,16,1,91.3,91.3,91.3,58,"const=0,res=95,suffix=382"
wo_const,cluster_2,2,2,5325.0,4730.0,5920.0,"20,20","const=45,res=95,suffix=2056 x2"
wo_const,cluster_2,3,1,9560.0,9560.0,9560.0,31,"const=45,res=95,suffix=2074"
wo_const,cluster_2,29,2,10950.0,10800.0,11100.0,"7,7","const=45,res=95,suffix=2054 x2"
wo_const,cluster_3,2,2,226.5,202.0,251.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,3,1,283.0,283.0,283.0,23,"const=0,res=0,suffix=180"
wo_const,cluster_3,29,2,1093.0,626.0,1560.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,51,2,1180.0,1150.0,1210.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,81,2,1915.0,1880.0,1950.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,88,2,1815.0,1610.0,2020.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,90,2,2040.0,1820.0,2260.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,91,2,1940.0,1880.0,2000.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,96,2,2515.0,1830.0,3200.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,97,2,2505.0,1800.0,3210.0,"23,23","const=0,res=0,suffix=180 x2"
wo_const,cluster_3,99,3,2090.0,1850.0,2990.0,"23,23,23","const=0,res=0,suffix=180 x3"
wo_const,cluster_3,176,2,3530.0,2850.0,4210.0,"23,23","const=0,res=0,suffix=180 x2"
