batch,category,with_median_us,without_median_us,delta_without_minus_with_us,without_over_with_ratio
2,dot,171.0,203.4,32.4,1.189474
2,loop fusion,15.5,15.85,0.35,1.022581
2,reduce,2.3,1.25,-1.05,0.543478
2,tuple,0.3,0.3,0.0,1.0
3,dot,253.3,254.4,1.1,1.004343
3,loop fusion,18.4,21.5,3.1,1.168478
3,reduce,2.4,1.5,-0.9,0.625
3,tuple,0.4,0.3,-0.1,0.75
29,dot,595.1,1019.35,424.25,1.712905
29,loop fusion,67.4,62.85,-4.55,0.932493
29,reduce,2.1,2.85,0.75,1.357143
29,tuple,0.3,0.3,0.0,1.0
51,dot,1047.2,1071.65,24.45,1.023348
51,loop fusion,102.2,101.0,-1.2,0.988258
51,reduce,1.5,1.8,0.3,1.2
51,tuple,0.3,0.45,0.15,1.5
81,call,240.8,289.95,49.15,1.204111
81,dot,1397.6,1587.75,190.15,1.136055
81,loop fusion,24.7,21.7,-3.0,0.878543
81,reduce,4.2,3.45,-0.75,0.821429
81,tuple,0.3,0.25,-0.05,0.833333
88,call,293.2,256.45,-36.75,0.874659
88,dot,1545.5,1522.45,-23.05,0.985086
88,loop fusion,23.8,21.9,-1.9,0.920168
88,reduce,4.2,2.3,-1.9,0.547619
88,tuple,0.3,0.25,-0.05,0.833333
90,call,285.8,295.15,9.35,1.032715
90,dot,1522.2,1710.2,188.0,1.123505
90,loop fusion,24.8,23.05,-1.75,0.929435
90,reduce,3.6,2.45,-1.15,0.680556
90,tuple,0.3,0.65,0.35,2.166667
91,call,293.8,299.9,6.1,1.020762
91,dot,1586.6,1601.9,15.3,1.009643
91,loop fusion,26.5,26.5,0.0,1.0
91,reduce,3.4,3.15,-0.25,0.926471
91,tuple,0.2,0.3,0.1,1.5
96,call,333.5,294.15,-39.35,0.882009
96,dot,1619.6,2187.4,567.8,1.35058
96,loop fusion,25.5,24.75,-0.75,0.970588
96,reduce,3.1,2.8,-0.3,0.903226
96,tuple,0.3,0.4,0.1,1.333333
97,call,330.5,345.45,14.95,1.045234
97,dot,1629.0,2123.05,494.05,1.303284
97,loop fusion,26.4,24.5,-1.9,0.92803
97,reduce,3.7,3.3,-0.4,0.891892
97,tuple,0.2,0.25,0.05,1.25
99,call,311.3,326.7,15.4,1.04947
99,dot,1681.3,1717.6,36.3,1.02159
99,loop fusion,28.6,27.2,-1.4,0.951049
99,reduce,2.4,3.8,1.4,1.583333
99,tuple,0.3,0.3,0.0,1.0
176,call,397.9,392.15,-5.75,0.985549
176,dot,2428.6,3080.0,651.4,1.26822
176,loop fusion,39.6,40.8,1.2,1.030303
176,reduce,4.3,3.95,-0.35,0.918605
176,tuple,0.3,0.45,0.15,1.5
