batch,with_runs,without_runs,with_p50_us,without_p50_us,delta_without_minus_with_us,without_over_with_ratio,delta_pct,with_us_per_item,without_us_per_item,with_ops,without_ops
2,3,2,194.0,226.5,32.5,1.167526,16.753,97.0,113.25,23,23.0
3,1,1,280.0,283.0,3.0,1.010714,1.071,93.333333,94.333333,23,23
29,3,2,672.0,1093.0,421.0,1.626488,62.649,23.172414,37.689655,23,23.0
51,3,2,1160.0,1180.0,20.0,1.017241,1.724,22.745098,23.137255,23,23.0
81,3,2,1700.0,1915.0,215.0,1.126471,12.647,20.987654,23.641975,23,23.0
88,3,2,1870.0,1815.0,-55.0,0.970588,-2.941,21.25,20.625,23,23.0
90,3,2,1850.0,2040.0,190.0,1.102703,10.27,20.555556,22.666667,23,23.0
91,3,2,1920.0,1940.0,20.0,1.010417,1.042,21.098901,21.318681,23,23.0
96,3,2,1990.0,2515.0,525.0,1.263819,26.382,20.729167,26.197917,23,23.0
97,3,2,2000.0,2505.0,505.0,1.2525,25.25,20.618557,25.824742,23,23.0
99,3,3,2060.0,2090.0,30.0,1.014563,1.456,20.808081,21.111111,23,23
176,3,2,2810.0,3530.0,720.0,1.256228,25.623,15.965909,20.056818,23,23.0
