batch,operator,with_median_us,without_median_us,delta_without_minus_with_us,without_over_with_ratio
2,XLA_Retvals,0.3,0.3,0.0,1.0
2,model/Sigmoid_2,0.2,0.3,0.1,1.5
2,model/Sum,1.8,1.15,-0.65,0.638889
2,model/add_3,0.8,0.45,-0.35,0.5625
2,model/common_MoE/MatMul_3,2.2,1.8,-0.4,0.818182
2,model/common_MoE/MatMul_4,0.6,0.8,0.2,1.333333
2,model/common_MoE/common_MoE_gate_3/MatMul,13.8,15.05,1.25,1.09058
2,model/common_MoE/common_MoE_gate_3/Softmax,1.9,1.3,-0.6,0.684211
2,model/common_MoE/common_MoE_gate_4/MatMul,12.4,14.55,2.15,1.173387
2,model/common_MoE/common_MoE_gate_4/Softmax,1.1,1.3,0.2,1.181818
2,model/concat_1,1.4,1.35,-0.05,0.964286
2,model/swa_cart_output_layer/MatMul,4.6,4.65,0.05,1.01087
2,model/swa_cart_output_layer/add,0.3,0.25,-0.05,0.833333
2,model/swa_cart_tower/swa_cart_tower_dense_0/MatMul,64.3,70.5,6.2,1.096423
2,model/swa_cvr_tower/swa_cvr_tower_dense_0/MatMul,82.0,100.7,18.7,1.228049
2,model/swa_order_output_layer/MatMul,5.9,5.45,-0.45,0.923729
2,model/swa_order_output_layer/add,0.4,0.9,0.5,2.25
3,XLA_Retvals,0.4,0.3,-0.1,0.75
3,model/Sigmoid_2,0.3,0.3,0.0,1.0
3,model/Sum,1.4,2.0,0.6,1.428571
3,model/add_3,0.3,0.3,0.0,1.0
3,model/common_MoE/MatMul_3,3.5,3.2,-0.3,0.914286
3,model/common_MoE/MatMul_4,1.8,2.2,0.4,1.222222
3,model/common_MoE/common_MoE_gate_3/MatMul,23.7,21.5,-2.2,0.907173
3,model/common_MoE/common_MoE_gate_3/Softmax,1.1,1.2,0.1,1.090909
3,model/common_MoE/common_MoE_gate_4/MatMul,18.8,19.4,0.6,1.031915
3,model/common_MoE/common_MoE_gate_4/Softmax,2.5,1.5,-1.0,0.6
3,model/concat_1,1.4,1.2,-0.2,0.857143
3,model/swa_cart_output_layer/MatMul,5.7,7.4,1.7,1.298246
3,model/swa_cart_output_layer/add,0.5,0.2,-0.3,0.4
3,model/swa_cart_tower/swa_cart_tower_dense_0/MatMul,72.1,72.4,0.3,1.004161
3,model/swa_cvr_tower/swa_cvr_tower_dense_0/MatMul,133.4,135.7,2.3,1.017241
3,model/swa_order_output_layer/MatMul,6.3,8.0,1.7,1.269841
3,model/swa_order_output_layer/add,1.3,0.9,-0.4,0.692308
29,XLA_Retvals,0.3,0.3,0.0,1.0
29,model/Sigmoid_2,6.5,5.8,-0.7,0.892308
29,model/Sum,2.0,1.9,-0.1,0.95
29,model/add_3,3.7,4.7,1.0,1.27027
29,model/common_MoE/MatMul_3,17.6,16.7,-0.9,0.948864
29,model/common_MoE/MatMul_4,8.0,6.55,-1.45,0.81875
29,model/common_MoE/common_MoE_gate_3/MatMul,184.4,164.8,-19.6,0.893709
29,model/common_MoE/common_MoE_gate_3/Softmax,2.8,2.7,-0.1,0.964286
29,model/common_MoE/common_MoE_gate_4/MatMul,128.5,122.3,-6.2,0.951751
29,model/common_MoE/common_MoE_gate_4/Softmax,2.9,3.6,0.7,1.241379
29,model/concat_1,2.3,1.75,-0.55,0.76087
29,model/swa_cart_output_layer/MatMul,23.7,21.65,-2.05,0.913502
29,model/swa_cart_output_layer/add,0.4,0.35,-0.05,0.875
29,model/swa_cart_tower/swa_cart_tower_dense_0/MatMul,135.9,132.95,-2.95,0.978293
29,model/swa_cvr_tower/swa_cvr_tower_dense_0/MatMul,147.0,576.05,429.05,3.918707
29,model/swa_order_output_layer/MatMul,24.1,22.4,-1.7,0.929461
29,model/swa_order_output_layer/add,0.9,0.85,-0.05,0.944444
51,XLA_Retvals,0.3,0.45,0.15,1.5
51,model/Sigmoid_2,5.6,4.45,-1.15,0.794643
51,model/Sum,2.3,2.7,0.4,1.173913
51,model/add_3,3.6,4.4,0.8,1.222222
51,model/common_MoE/MatMul_3,33.6,24.15,-9.45,0.71875
51,model/common_MoE/MatMul_4,12.7,10.2,-2.5,0.80315
51,model/common_MoE/common_MoE_gate_3/MatMul,315.7,289.05,-26.65,0.915584
51,model/common_MoE/common_MoE_gate_3/Softmax,2.8,2.95,0.15,1.053571
51,model/common_MoE/common_MoE_gate_4/MatMul,221.8,226.8,5.0,1.022543
51,model/common_MoE/common_MoE_gate_4/Softmax,2.7,3.55,0.85,1.314815
51,model/concat_1,3.9,2.9,-1.0,0.74359
51,model/swa_cart_output_layer/MatMul,40.6,40.0,-0.6,0.985222
51,model/swa_cart_output_layer/add,0.6,0.55,-0.05,0.916667
51,model/swa_cart_tower/swa_cart_tower_dense_0/MatMul,218.7,252.2,33.5,1.153178
51,model/swa_cvr_tower/swa_cvr_tower_dense_0/MatMul,253.0,269.25,16.25,1.064229
51,model/swa_order_output_layer/MatMul,40.2,40.0,-0.2,0.995025
51,model/swa_order_output_layer/add,0.3,1.3,1.0,4.333333
81,XLA_Retvals,0.3,0.25,-0.05,0.833333
81,call:parallel_multiply_dot_fusion,97.6,104.25,6.65,1.068135
81,call:parallel_multiply_dot_fusion.1,143.2,185.7,42.5,1.296788
81,model/Sigmoid_2,2.8,2.95,0.15,1.053571
81,model/Sum,2.4,3.15,0.75,1.3125
81,model/add_3,8.1,6.1,-2.0,0.753086
81,model/common_MoE/MatMul_3,52.5,47.3,-5.2,0.900952
81,model/common_MoE/MatMul_4,20.8,23.25,2.45,1.117788
81,model/common_MoE/common_MoE_gate_3/MatMul,363.3,471.9,108.6,1.298927
81,model/common_MoE/common_MoE_gate_3/Softmax,4.7,4.4,-0.3,0.93617
81,model/common_MoE/common_MoE_gate_4/MatMul,269.2,323.4,54.2,1.201337
81,model/common_MoE/common_MoE_gate_4/Softmax,4.3,3.45,-0.85,0.802326
81,model/concat_1,4.3,4.35,0.05,1.011628
81,model/swa_cart_output_layer/add,0.3,0.3,0.0,1.0
81,model/swa_cart_tower/swa_cart_tower_dense_0/MatMul,326.0,361.95,35.95,1.110276
81,model/swa_cvr_tower/swa_cvr_tower_dense_0/MatMul,366.2,359.95,-6.25,0.982933
81,model/swa_order_output_layer/add,0.3,0.45,0.15,1.5
88,XLA_Retvals,0.3,0.25,-0.05,0.833333
88,call:parallel_multiply_dot_fusion,111.3,94.1,-17.2,0.845463
88,call:parallel_multiply_dot_fusion.1,184.5,162.35,-22.15,0.879946
88,model/Sigmoid_2,3.3,2.7,-0.6,0.818182
